#name	name2
NM_001109422	Bcl3
NM_001034920	Cblc
NM_001170324	Ceacam20
NM_001198970	Ceacam19
NM_017076	PVR
NM_001271280	Zfp180
NM_001107487	Zfp112
NM_144757	Zfp180
NM_133323	Zfp111
NM_001037212	Zfp94
NM_001017512	Zfp61
NM_001192010	Lypd5
NM_001014243	Smg9
NM_001014016	Irgc
NM_001106233	Tescl
NM_023021	Kcnn4
NM_001270701	Kcnn4
NM_001270703	Kcnn4
NM_001270702	Kcnn4
NM_001108476	Zfp428
NM_001047107	Cadm4
NM_017350	Plaur
NM_134352	Plaur
NM_001191622	Phldb3
NM_053435	Xrcc1
NM_139037	Tex101
NM_001107489	Zfp575
NM_001107488	Pinlyp
NM_021759	Lypd3
NM_001106234	Ethe1
NM_001170329	RGD1564380
NM_173339	Ceacam10
NM_001177686	RGD1565655
NM_001191948	Cd177
NM_001110295	Lypd4
NM_001109140	Dmrtc2
NM_001037346	Rps19
NM_031774	Rabac1
NM_012506	Atp1a3
NM_001024258	Zfp574
NM_001271204	Pou2f2
NM_017344	Gsk3a
NM_001107490	Cic
NM_001170335	Erf
NM_053654	Pafah1b3
NM_001173428	Prr19
NM_001108909	Cnfn
NM_001107491	Cxcl17
NM_012859	Lipe
NM_001109453	LOC685046
NM_031755	Ceacam1
NM_001107492	B3gnt8
NM_001009705	Atp5sl
NM_012782	Bckdha
NM_001033862	Ceacam1
NM_001033861	Ceacam1
NM_001033860	Ceacam1
NM_001107494	B9d2
NM_001106235	Ccdc97
NM_031794	Axl
NM_021578	Tgfb1
NM_001108477	Hnrnpul1
NM_001013147	Axl
NM_001107495	Cyp2s1
NM_173294	Cyp2b3
NM_001198676	Cyp2b2
NM_001134844	Cyp2b1
NM_198733	Cyp2b21
NM_001135668	Cyp2b15
NM_012692	Cyp2a1
NM_012542	Cyp2a3
NM_001170586	Sdccag1
NM_017355	Rab4b
NM_019303	Cyp2f4
NM_030852	Mia
NM_001008303	Snrpa
NM_001004083	Egln2
NM_178094	Itpkc
NM_134369	Cyp2t1
NM_001170336	Ltbp4
NM_001271080	Shkbp1
NM_001033888	Numbl
NM_001007735	Sertad1
NM_001017513	Sertad3
NM_001106236	Blvrb
NM_001012167	Pld3
NM_001109664	RGD1307554
NM_001024776	Hipk4
NM_023976	Prx
NM_001108478	Ttc9b
NM_001191621	Map3k10
NM_001164657	Fcgbp
NM_057122	Psmc4
NM_001107496	Dyrk1b
NM_001025643	Fbl
NM_001107497	Supt5h
NM_053666	Dll3
NM_001169146	Rps16
NM_001134972	Plekhg2
NM_001166396	Selv
NM_133290	Zfp36
NM_001107498	Samd4b
NM_001106237	Med29
NM_181091	Gmfg
NM_001108910	Lrfn1
NM_001024898	Paf1
NM_001127694	Lrfn1
NM_001134506	Nccrp1
NM_139086	Sycn
NM_001106238	Pak4
NM_001110491	Fbxo27
NM_030867	Nfkbib
NM_001013064	Fbxo17
NM_001106240	Sars2
NM_001106239	Mrps12
NM_022594	Ech1
NM_001106241	Rinl
NM_001110808	Capn12
NM_022582	Lgals7
NM_012975	Lgals4
NM_032619	Hnrnpl
NM_001134760	Hnrnpl
NM_001106243	Map4k1
NM_001106242	Eif3k
NM_001198584	Fam98c
NM_001170340	Catsperg1
NM_001173344	Spred3
NR_037147	Fam98c
NM_001100831	Psmd8
NM_001013065	Ggn
NM_001014810	Yif1b
NM_053806	Kcnk6
NM_198734	Yif1b
NM_001013066	Sipa1l3
NM_001105729	Dpf1
NM_130403	Ppp1r14a
NM_001107500	Zfp84
NM_001271339	Zfp74
NM_001134726	Zfp566
NM_144749	Zfp382
NM_017364	Zfp260
NM_001107502	Lrfn3
NM_001177687	RGD1562079
NM_001107501	Clip3
NM_001127450	Alkbh6
NM_001009283	Syne4
NM_001271398	Kirrel2
NM_001005900	Hcst
NM_212525	Tyrobp
NM_001100802	Aplp1
NM_022628	Nphs1
NM_001106244	Polr2i
NM_001040180	Tbcb
NM_001038588	Prodh2
NM_001289820	Ovol3
NM_017118	Capns1
NM_001106245	Lin37
NM_001014159	Rbm42
NM_001134610	Igflr1
NM_001008775	U2af1l4
NM_001145273	LOC688869
